dachzeile,headline,links,teaser_text
,,"/multimedia/livestreams/livestream3/,/multimedia/livestreams/livestream3/,/multimedia/livestreams/livestream3/",
,,"/100sekunden/,/100sekunden/,/100sekunden/",
,,"/multimedia/sendung/ts-37143.html,/multimedia/sendung/ts-37143.html,/multimedia/sendung/ts-37143.html",
,,"/multimedia/sendung/tt-7519.html,/multimedia/sendung/tt-7519.html,/multimedia/sendung/tt-7519.html",
Maas berät mit EU-Ländern,Wie Urlaub wieder möglich werden kann,"/ausland/maas-urlaubsreisen-103.html,/multimedia/video/video-703253.html,/ausland/maas-urlaubsreisen-103.html,/inland/maas-urlaubsreisen-101.html,/ausland/coronavirus-eu-reisen-101.html,/inland/ausland-reisen-reisewarnung-101.html","Außenminister Maas sieht Chancen für einen Sommerurlaub innerhalb der EU - auch wenn dieser anders aussehen werde als vor Corona. Heute berät er mit seinen Kollegen aus zehn Urlaubsländern, was möglich sein könnte.
| ,
"
Griechische Strände geöffnet,Strandleben - auch mit Corona-Regeln,"/ausland/griechenland-sommerurlaub-coronavirus-101.html,/ausland/corona-griechenland-tourismus-101.html","Wenn alles gut geht, sollen ab Juli auch wieder ausländische Touristen nach Griechenland kommen. Die Öffnung der Strände war dafür ein Test. Das Fazit: Auch in Corona-Zeiten scheint ein Strandurlaub möglich. ,
| ,
"
Corona-Lockerungen,Ein großer Schritt für Bella Italia ,/ausland/italien-corona-lockerungen-103.html,"Italien hat als erstes Land in Europa umfangreiche Ausgangsbeschränkungen in der Corona-Krise verhängt. Jetzt geht es einen großen Schritt in Richtung Normalität. Geschäfte, Restaurants und Friseure öffnen wieder. ,
| ,
"
Neustart der Gastronomie,"""Im Moment zahlen wir nur drauf""","/inland/gastronomie-coronakrise-103.html,/inland/gastronomie-coronakrise-103.html","Trotz der Lockerungen haben es besonders kleinere Cafés und Restaurants schwer: Für einige ist es gar ein Verlustgeschäft, wieder zu öffnen. , und , haben mit Betroffenen gesprochen.
| ,
"
Liveblog zur Corona-Krise,++ Einige Kitas wieder ganz geöffnet ++,"/newsticker/liveblog-coronavirus-149.html,/multimedia/video/video-703253.html,/multimedia/audio/audio-89861.html,/newsticker/liveblog-coronavirus-149.html,https://www.tagesschau.de/thema/coronavirus/","In einigen Bundesländern dürfen Kinder ab heute wieder in die Kita gehen. Außenminister Maas berät mit Amtskollegen über den Sommerurlaub in Europa. Das RKI meldet 342 Neuinfektionen binnen 24 Stunden. Alle Informationen im Liveblog.
| ,
"
Lohnfortzahlungen wegen Corona,Auch CDU will Hilfen für Eltern verlängern,"/inland/lohnfortzahlung-eltern-corona-105.html,/inland/lohnfortzahlung-eltern-corona-103.html","Vehement hatte die SPD zuletzt eine Verlängerung der Lohnfortzahlung für Eltern in der Corona-Krise gefordert, nun ist dazu offenbar auch der Koalitionspartner bereit. CDU-Chefin Kramp-Karrenbauer sprach von einer notwendigen Hilfe.
| ,
"
Folgen der Corona-Krise,Japan rutscht in die Rezession,"/wirtschaft/japan-wirtschaft-rezession-101.html,/wirtschaft/japan-wirtschaft-rezession-101.html","Die Folgen der Corona-Krise treffen Japan mit voller Wucht. Zum zweiten Mal in Folge sank das Bruttoinlandsprodukt der drittgrößten Volkswirtschaft. Die Regierung will mit einem Konjunkturpaket in Billionen-Höhe gegensteuern.
| ,
"
Notenbank Fed,US-Wirtschaft könnte um 30 Prozent einbrechen,/wirtschaft/usa-fed-coronavirus-101.html,"Die US-Wirtschaft wurde vom Coronavirus hart getroffen. Laut Fed könnte sie in diesem Quartal um bis zu 30 Prozent schrumpfen. Dennoch hält die US-Notenbank eine Erholung noch in diesem Jahr für möglich  - unter einer Voraussetzung.
| ,
"
Corona-Krise in den USA,"""Existenzängste führen zu Selbstmord""",/ausland/usa-corona-psyche-101.html,"Isolation, Geldsorgen und ein Gefühl der Ohnmacht bestimmen den Alltag vieler Amerikaner seit Beginn der Corona-Pandemie. US-Wissenschaftler fürchten, dass die Zahl der Selbstmorde und Fälle von Drogenmissbrauch stark zunehmen werden. ,.
| ,
"
WHO zu Corona-Pandemie,Mitten im Sturm,/inland/deutschland-who-101.html,"Die WHO beginnt heute mit ihrer virtuellen Jahreshauptversammlung. Es geht um eine Resolution, die zum gemeinsamen Kampf gegen das Coronavirus aufruft. Doch um den Zusammenhalt ist es schlecht bestellt. ,
| ,
"
Kritik an Fleischbranche,Am Haken,"/wirtschaft/fleischwirtschaft-auflagen-103.html,/multimedia/politikimradio/audio-89849.html,/wirtschaft/fleischwirtschaft-auflagen-103.html,/wirtschaft/fleischwirtschaft-auflagen-101.html","Die Koalitionsparteien wollen nicht auf freiwillige Veränderungen in der Fleischbranche warten. Auch Agrarministerin Klöckner setzt sich nun für schärfere Strafen ein. Arbeitsminister Heil will heute seine Forderungen nennen.
| ,
"
Debatte um Fleischbetriebe,Wie funktionieren Werkverträge?,"/inland/werkvertraege-hintergrund-101.html,/inland/werkvertraege-hintergrund-101.html","Die Arbeitsbedingungen in Fleischbetrieben sind schon länger in der Kritik - vor allem wegen der Werkverträge. Wie genau dieses Modell funktioniert und was daran so problematisch ist, erklärt ,.
| ,
"
Infektionen in Niedersachsen,92 Corona-Fälle in Fleisch-Zerlegebetrieb,"/ardimport/regional/niedersachsen/corona-dissen-101.html,/ardimport/regional/niedersachsen/corona-dissen-101.html","In einem Betrieb zur Fleischverarbeitung im niedersächsischen Dissen sind 92 Corona-Fälle aufgetreten. Die Produktion wurde eingestellt. Die Betroffenen wohnen teilweise in Sammelunterkünften.
| ,
"
Corona in El Salvador,"""Bukele raubt unsere Demokratie""","/ausland/corona-elsalvador-101.html,/ausland/argentinien-coronavirus-101.html","Während einige lateinamerikanische Länder ihre Corona-Bestimmungen bereits lockern, verschärft El Salvador sie. Wer dagegen verstößt, kommt in den ""Corona-Knast"". ,
| ,
"
Karten mit Fallzahlen,Wo sich das Coronavirus ausbreitet,"/ausland/coronavirus-karten-101.html,/ausland/coronavirus-karten-101.html,https://www.tagesschau.de/inland/coronavirus-karte-deutschland-101.html,https://www.tagesschau.de/ausland/coronavirus-karte-101.html","Wie viele bestätigte Coronavirus-Fälle gibt es? Die interaktiven Karten geben einen aktuellen Überblick für Deutschland und die Welt. Sie zeigen auch an, wie viele Menschen gestorben und wie viele genesen sind.
| ,
"
13 Monate auf der Flucht,Die letzte Höhle des Baulöwen,"/wirtschaft/boerse/schneider-festnahme-jahrestag-101.html,/wirtschaft/boerse/schneider-festnahme-jahrestag-101.html","""Ja, ich bin es."" Mit diesen Worten endet am 18. Mai 1995 in Florida die spektakuläre Flucht von Jürgen Schneider. 25 Jahre später blickt , auf den Skandal um den größten Immobilienbetrüger der deutschen Nachkriegsgeschichte.
| ,
"
Crystal aus den Niederlanden,Europas Drogenküche,"/investigativ/ndr/chrystal-meth-niederlande-101.html,/investigativ/ndr/chrystal-meth-niederlande-101.html","Fahnder entdecken in Deutschland immer mehr synthetische Drogen, die in den Niederlanden hergestellt wurden. Offenbar hat sich insbesondere die Crystal-Produktion aus Osteuropa in das Land verlagert. ,
| ,
"
Neustart der Bundesliga,Ein guter Anfang - mehr nicht,"/sport/sportschau/neustart-bundesliga-corona-101.html,https://www.sportschau.de/fussball/bundesliga/video-wehrle-ueber-das-greifen-des-dfl-konzepts-stein-vom-herzen-gefallen-100.html,https://www.sportschau.de/fussball/bundesliga/geisterspiele-bundesliga-neustart-bilder-100.html,/sport/sportschau/neustart-bundesliga-corona-101.html","Jubel ohne Umarmung, Mundschutz im Stadion, Fangesänge vom Band. Vieles war anders beim Neustart der Bundesliga. Doch die erste Bilanz fällt positiv aus. Ohne Team-Quarantäne sind nun die Spieler gefordert. ,  | "
26. Spieltag der Bundesliga,Abgeklärte Bayern siegen bei Union,"/sport/sportschau/bayern-union-101.html,/sport/sportschau/bayern-union-101.html",Ohne zu glänzen hat der FC Bayern München beim Neustart der Bundesliga einen Auswärtssieg bei Union Berlin eingefahren und seine Spitzenposition behauptet. Zwei Standardsituationen sorgten für die Entscheidung.  | 
,,"/inland/afd-kalbitz-117.html,/inland/gastronomie-coronavirus-101.html,/inland/corona-ausbruch-deutschland-rekonstruktion-101.html",
,,"/ausland/israel-regierung-119.html,/ausland/katar-maskenpflicht-101.html,/ausland/brasilien-coronavirus-105.html",
,,/wirtschaft/bahn-gewerkschaft-101.html,
,,/sport/sportschau/koeln-mainz-bundesliga-101.html,
,,,Am Flughafen der polnischen Stadt Krakau wird ein Heißluftballon für den Start vorbereitet. Anlässlich des 100. Geburtstags des polnischen Papstes Johannes Paul II. wird in seiner Heimatstadt ein Ballonrennen veranstaltet. | Bildquelle: Lukasz Gagulski/EPA-EFE/Shutters
,,"//wetter.tagesschau.de/deutschland/,//wetter.tagesschau.de/deutschland/",
,,"//wetter.tagesschau.de/radarbilder/,//wetter.tagesschau.de/radarbilder/",
,,"//wetter.tagesschau.de/deutschland/wetterstationen/,//wetter.tagesschau.de/deutschland/wetterstationen/",
,,"//wetter.tagesschau.de/wetterthema/2020/05/15/halos.html,//wetter.tagesschau.de/wetterthema/2020/05/15/halos.html",
,Alles Wissenswerte rund um das Virus,"/faktenfinder/hintergrund/coronavirus-faq-101.html,/faktenfinder/hintergrund/coronavirus-faq-101.html",Das Coronavirus sorgt für viele Fragen: Ist es doch gefährlich für Kinder? Was sind Langzeitfolgen? Ein Überblick. | 
,Das News-Update für Ihren Messenger,"/inland/messenger-109.html,/multimedia/video/video-568819.html,/inland/messenger-109.html,/multimedia/video/video-568819.html",Morgens und abends die wichtigsten Nachrichten im Überblick: Das ist die Tagesschau im Messenger. | 
,Die Tagesschau vor 20 Jahren,"/inland/tsvorzwanzigjahren100.html,/inland/tsvorzwanzigjahren100.html",Wie sah die Welt vor 20 Jahren aus? | 
,Bericht aus Berlin,"http://www.tagesschau.de/bab,http://www.tagesschau.de/bab","AfD-Chef Chrupalla hält den Ausschluss vom ehemaligen ""Flügel""-Mann Kalbitz für unwirksam. Außerdem: Maas äußert sich zu Chancen auf Sommerurlaub im EU-Ausland und zur Debatte um nukleare Abrüstung in Deutschland. | "
,Die Tagesschau im Fernsehen,,"Wir bedanken uns bei 12,6 Millionen Zuschauerinnen und Zuschauern, die unsere 20-Uhr-Ausgabe der Tagesschau gesehen haben. Dies entspricht einem Marktanteil von 40,9 Prozent.
,
"
,,"https://www.tagesschau.de/allemeldungen/,https://www.facebook.com/tagesschau,https://www.instagram.com/tagesschau/,https://twitter.com/tagesschau,https://www.youtube.com/tagesschau,https://www.tagesschau.de/infoservices/podcast/,https://www.tagesschau.de/infoservices/rssfeeds/",
,,"https://kurse.boerse.ard.de/ard/indizes_einzelkurs_uebersicht.htn?bigIndex=0&i=159096&sektion=einzelwerte&sortierung=NetchangePercent&ascdesc=DESC&sortQuotes=1,https://kurse.boerse.ard.de/ard/indizes_einzelkurs_uebersicht.htn?i=159096&sektion=einzelwerte,https://kurse.boerse.ard.de/ard/indizes_einzelkurs_uebersicht.htn?i=159194&sektion=einzelwerte,https://kurse.boerse.ard.de/ard/indizes_einzelkurs_uebersicht.htn?i=2303555&sektion=einzelwerte,https://kurse.boerse.ard.de/ard/indizes_einzelkurs_uebersicht.htn?i=149002&sektion=einzelwerte",
,Teletext im Internet,"https://www.ard-text.de/?page=101,https://www.ard-text.de/?page=101","Schlagzeilen, Nachrichten und Hintergründe der tagesschau  | "
,,"https://www.tagesschau.de/regional/,https://www.tagesschau.de/regional/",Nachrichten aus den Bundesländern | 
,TV und Radio weltweit,"https://korrespondenten.tagesschau.de,https://korrespondenten.tagesschau.de",Informationen über die Auslandsstudios und Berichtsgebiete der ARD  | 
